Babasakichō Station	馬場崎町駅（ばばさきちょう）
Bairin Station (Gifu)	梅林駅 (岐阜県)（ばいりん）
Bairin Station (Hiroshima)	梅林駅 (広島県)（ばいりん）
Baishinji Station	梅津寺駅（ばいしんじ）
Bakkai Station	抜海駅（ばっかい）
Bakurochō Station	馬喰町駅（ばくろちょう）
Bakurōmachi Station	博労町駅（ばくろうまち）
Bakuroyokoyama Station	馬喰横山駅（ばくろよこやま）
Balloon Saga Station	バルーンさが駅
Banda Station	番田駅 (神奈川県)（ばんだ）
Bandai-Atami Station	磐梯熱海駅（ばんだいあたみ）
Bandaimachi Station	磐梯町駅（ばんだいまち）
Banden Station	番田駅 (福井県)（ばんでん）
Bandō Station	板東駅（ばんどう）
Bandōbashi Station	阪東橋駅（ばんどうばし）
Bampaku-kinen-kōen Station (Ibaraki)	万博記念公園駅 (茨城県)（ばんぱくきねんこうえん）
Bampaku-kinen-kōen Station (Osaka)	万博記念公園駅 (大阪府)（ばんぱくきねんこうえん）
Banshū-Akō Station	播州赤穂駅（ばんしゅうあこう）
Baraki Station	原木駅（ばらき）
Baraki-Nakayama Station	原木中山駅（ばらきなかやま）
Bashamichi Station	馬車道駅（ばしゃみち）
Bayside Station	ベイサイド・ステーション駅
Befu Station (Fukuoka)	別府駅 (福岡県)（べふ）
Befu Station (Hyogo)	別府駅 (兵庫県)（べふ）
Bentembashi Station	弁天橋駅（べんてんばし）
Bentenchō Station	弁天町駅（べんてんちょう）
Bentenjima Station	弁天島駅（べんてんじま）
Beppo Station	別保駅（べっぽ）
Beppu Station	別府駅 (大分県)（べっぷ）
Beppu Daigaku Station	別府大学駅（べっぷだいがく）
Berumae Station	ベル前駅（べるまえ）
Bessho Station (Hyogo)	別所駅 (兵庫県)（べっしょ）
Bessho-Onsen Station	別所温泉駅（べっしょおんせん）
Bettoga Station	別当賀駅（べっとが）
Bibai Station	美唄駅（びばい）
Bibaushi Station	美馬牛駅（びばうし）
Bibi Station	美々駅（びび）
