Haba Station (Gifu)	羽場駅 (岐阜県)
Haba Station (Nagano)	羽場駅 (長野県)
Habu Station	埴生駅
Hachigata Station	鉢形駅
Hachihama Station	八浜駅
Hachihommatsu Station	八本松駅
Hachiken Station	八軒駅
Hachiman Station	八幡駅 (静岡県)
Hachimanmae Station (Kyoto)	八幡前駅 (京都府)
Hachimanmae Station (Wakayama)	八幡前駅 (和歌山県)
Hachimantai Station	八幡平駅
Hachimanyama Station	八幡山駅
Hachimori Station	八森駅
Hachinohe Station	八戸駅
Hachinohekamotsu Station	八戸貨物駅（はちのへかもつ）
Hachiōji Station	八王子駅（はちおうじ）
Hachiōji-Minamino Station	八王子みなみ野駅（はちおうじみなみの）
Hachirōgata Station	八郎潟駅（はちろうがた）
Hachisu Station	蓮駅
Hadachi Station	羽立駅
Hadakajima Station	波高島駅（はだかじま）
Hadano Station	秦野駅（はだの）
Hadasu Station	波田須駅（はだす）
Haenosaki Station	南風崎駅（はえのさき）
Hage Station	半家駅（はげ）
Hagi Station	萩駅（はぎ）
Hagiharatenjin Station	萩原天神駅（はぎはらてんじん）
Hagino Station	萩野駅（はぎの）
Haginochaya Station	萩ノ茶屋駅（はぎのちゃや）
Haginodai Station	萩の台駅（はぎのだい）
Hagiwara Station (Aichi)	萩原駅 (愛知県)（はぎわら）
Hagiwara Station (Fukuoka)	萩原駅 (福岡県)（はぎわら）
Hagiyama Station	萩山駅（はぎやま）
Hagoromo Station	羽衣駅（はごろも）
Hagurazaki Station	羽倉崎駅（はぐらざき）
Hagure Station	波久礼駅（はぐれ）
Haguro Station (Aichi)	羽黒駅 (愛知県)（はぐろ）
Haguro Station (Ibaraki)	羽黒駅 (茨城県)（はぐろ）
Haguroshita Station	羽黒下駅（はぐろした）
Hagyū Station	萩生駅（はぎゅう）
Haibara Station	榛原駅（はいばら）
Haijima Station	拝島駅（はいじま）
Haiki Station	早岐駅（はいき）
Hainuzuka Station	羽犬塚駅（はいぬづか）
Haji Station	土師駅（はじ）
Hajinosato Station	土師ノ里駅（はじのさと）
Hakariishi Station	計石駅（はかりいし）
Hakata Station	博多駅（はかた）
Hakataminami Station	博多南駅（はかたみなみ）
Hakawa Station	波川駅（はかわ）
Hakenomiya Station	八景水谷駅（はけのみや）
Haki Station	葉木駅（はき）
Hakkeijima Station	八景島駅（はっけいじま）
Hakodate Station	函館駅（はこだて）
Hakoishi Station	箱石駅（はこいし）
Hakonegasaki Station	箱根ヶ崎駅（はこねがさき）
Hakone-Itabashi Station	箱根板橋駅（はこねいたばし）
Hakone-Yumoto Station	箱根湯本駅（はこねゆもと）
Hakotsukuri Station	箱作駅（はこつくり）
Hakozaki Station	箱崎駅（はこざき）
Hakozaki-Kyūdaimae Station	箱崎九大前駅（はこざききゅうだいまえ）
Hakozaki-Miyamae Station	箱崎宮前駅（はこざきみやまえ）
Hakuba Station	白馬駅（はくば）
Hakuba-Ōike Station	白馬大池駅（はくばおおいけ）
Hakui Station	羽咋駅（はくい）
Hakunōkōkōmae Station	柏農高校前駅（はくのうこうこうまえ）
Hakuraku Station	白楽駅（はくらく）
Hakurindai Station	柏林台駅（はくりんだい）
Hakusan Station (Niigata)	白山駅 (新潟県)（はくさん）
Hakusan Station (Tokyo)	白山駅 (東京都)（はくさん）
Hakusannagataki Station	白山長滝駅（はくさんながたき）
Hakushima Station (Hiroden)	白島駅 (広島電鉄)（はくしま）
Hakushima Station (Astram)	白島駅 (広島高速交通)（はくしま）
Hakuyachō Station	柏矢町駅（はくやちょう）
Hakuyō Station	柏陽駅（はくよう）
Hama Station	浜駅（はま）
Hama-Atsuma Station	浜厚真駅（はまあつま）
Hamachō Station	浜町駅（はまちょう）
Hamada Station	浜田駅（はまだ）
Hamadayama Station	浜田山駅（はまだやま）
Hamaderaekimae Station	浜寺駅前駅（はまでらえきまえ）
Hamaderakōen Station	浜寺公園駅（はまでらこうえん）
Hamagōchi Station	浜河内駅（はまごうち）
Hamahara Station	浜原駅（はまはら）
Hamakazumi Station	浜加積駅（はまかづみ）
Hama-Kanaya Station	浜金谷駅（はまかなや）
Hama-Kawasaki Station	浜川崎駅（はまかわさき）
Hamakita Station	浜北駅（はまきた）
Hama-Koshimizu Station	浜小清水駅（はまこしみず）
Hamamatsu Station	浜松駅（はままつ）
Hamamatsuchō Station	浜松町駅（はままつちょう）
Hamamatsudaigakumae Station	浜松大学前駅（はままつだいがくまえ）
Hamamura Station	浜村駅（はまむら）
Hamanaka Station	浜中駅（はまなか）
Hamanako-Sakume Station	浜名湖佐久米駅（はまなこさくめ）
Hamano Station	浜野駅（はまの）
Hamanomiya Station	浜の宮駅（はまのみや）
Hamasaka Station	浜坂駅（はまさか）
Hamasaki Station	浜崎駅（はまさき）
Hamataura Station	浜田浦駅（はまたうら）
Hamayamakōen-Kitaguchi Station	浜山公園北口駅（はまやまこうえんきたぐち）
Hamayoshida Station	浜吉田駅（はまよしだ）
Hamonokaikan-mae Station	刃物会館前駅（はものかいかんまえ）
Hamura Station	羽村駅（はむら）
Hanabatake Station	花畑駅（はなばたけ）
Hanaizumi Station	花泉駅（はないずみ）
Hanakoganei Station	花小金井駅（はなこがねい）
Hanakuma Station	花隈駅（はなくま）
Hanamaki Station	花巻駅（はなまき）
Hanamakikūkō Station	花巻空港駅（はなまきくうこう）
Hanami Station	花見駅（はなみ）
Hanamizukidōri Station	はなみずき通駅（はなみずきどおり）
Hanamizuzaka Station	花水坂駅（はなみずざか）
Hanandō Station	花堂駅（はなんどう）
Hanasaki Station (Hokkaido)	花咲駅（はなさき）
Hanasaki Station (Saitama)	花崎駅（はなさき）
Hanashiro Station	花白駅（はなしろ）
Hanataguchi Station	花田口駅（はなたぐち）
Hanaten Station	放出駅（はなてん）
Hanawa Station	花輪駅（はなわ）
Hanayama Station	花山駅（はなやま）
Hanazono Station (Kagawa)	花園駅 (香川県)（はなぞの）
Hanazono Station (Kyoto)	花園駅 (京都府)（はなぞの）
Hanazonochō Station	花園町駅（はなぞのちょう）
Handa Station	半田駅（はんだ）
Handafutō Station	半田埠頭駅（はんだふとう）
Handaguchi Station	半田口駅（はんだぐち）
Handaibyōinmae Station	阪大病院前駅（はんだいびょういんまえ）
Hane Station	波根駅（はね）
Haneda Airport Domestic Terminal Station	羽田空港国内線ターミナル駅（はねだくうこうこくないせんたーみなる）
Haneda Airport International Terminal Station	羽田空港国際線ターミナル駅（はねだくうこうこくさいせんせんたーみなる）, 羽田空港国際線ビル駅（はねだくうこうこくさいせんせんびる）
Haneda Airport Terminal 1 Station	羽田空港第1ビル駅（はねだくうこうだいいちびる）
Haneda Airport Terminal 2 Station	羽田空港第2ビル駅（はねだくうこうだいにびる）
Haneo Station	羽根尾駅（はねお）
Hanno Station	母野駅（はんの）
Hannō Station	飯能駅（はんのう）
Hanoura Station	羽ノ浦駅（はのうら）
Hanshin-Kokudō Station	阪神国道駅（はんしんこくどう）
Hanuki Station	羽貫駅（はぬき）
Hanyū Station	羽生駅（はにゅう）
Hanyūda Station	羽生田駅（はにゅうだ）
Hanzōmon Station	半蔵門駅（はんぞうもん）
Haobi Station	羽帯駅（はおび）
Hara Station (Aichi)	原駅 (愛知県)（はら）
Hara Station (Kagawa)	原駅 (香川県)（はら）
Hara Station (Shizuoka)	原駅 (静岡県)（はら）
Harada Station	原田駅 (静岡県)（はらだ）
Haraichi Station	原市駅（はらいち）
Haraigawa Station	払川駅（はらいがわ）
Harajuku Station	原宿駅（はらじゅく）
Haramizu Station	原水駅（はらみず）
Haramukō Station	原向駅（はらむこう）
Harano Station	原野駅（はらの）
Haranomachi Station	原ノ町駅（はらのまち）
Haranoya Station	原谷駅（はらのや）
Haratai Station	腹帯駅（はらたい）
Harataima Station	原当麻駅（はらたいま）
Harborland Station	ハーバーランド駅
Harima Station	播磨駅（はりま）
Harimachō Station	播磨町駅（はりまちょう）
Harima-Katsuhara Station	はりま勝原駅（はりまかつはら）
Harima-Shimosato Station	播磨下里駅（はりましもさと）
Harima-Shingū Station	播磨新宮駅（はりましんぐう）
Harima-Takaoka Station	播磨高岡駅（はりまたかおか）
Harima-Tokusa Station	播磨徳久駅（はりまとくさ）
Harimayabashi Station	はりまや橋駅（はりまやばし）
Harima-Yokota Station	播磨横田駅（はりまよこた）
Harinakano Station	針中野駅（はりなかの）
Hariusu Station	張碓駅（はりうす）
Harmony Hall Station	ハーモニーホール駅
Haruda Station	原田駅 (福岡県)（はるだ）
Harue Station	春江駅（はるえ）
Haruhino Station	はるひ野駅（はるひの）
Haruka Station	春賀駅（はるか）
Haruki Station	春木駅（はるき）
Harukiba Station	春木場駅（はるきば）
Harumachi Station	原町駅（はるまち）
Haruta Station	春田駅（はるた）
Harutachi Station	春立駅（はるたち）
Haruyama Station	晴山駅（はるやま）
Hasama Station	飯山満駅（はさま）
Hase Station (Hyogo)	長谷駅 (兵庫県)（はせ）
Hase Station (Kanagawa)	長谷駅 (神奈川県)（はせ）
Hasedera Station	長谷寺駅（はせでら）
Hashi Station	波子駅（はし）
Hashibetsu Station	箸別駅（はしべつ）
Hashihama Station	波止浜駅（はしはま）
Hashikami Station	階上駅（はしかみ）
Hashikura Station	箸蔵駅（はしくら）
Hashimashiyakushomae Station	羽島市役所前駅（はしましやくしょまえ）
Hashimoto Station (Fukuoka)	橋本駅 (福岡県)（はしもと）
Hashimoto Station (Kanagawa)	橋本駅 (神奈川県)（はしもと）
Hashimoto Station (Kyoto)	橋本駅 (京都府)（はしもと）
Hashimoto Station (Wakayama)	橋本駅 (和歌山県)（はしもと）
Hashio Station	箸尾駅（はしお）
Hashioka Station	端岡駅（はしおか）
Hashirano Station	柱野駅（はしらの）
Hassamu Station	発寒駅（はっさむ）
Hassamu-Chūō Station	発寒中央駅（はっさむちゅうおう）
Hassamuminami Station	発寒南駅（はっさむみなみ）
Hasuda Station	蓮田駅（はすだ）
Hasugaike Station	蓮ヶ池駅（はすがいけ）
Hasumachi Station	蓮町駅（はすまち）
Hasune Station	蓮根駅（はすね）
Hasunuma Station	蓮沼駅（はすぬま）
Hata Station (Nagano)	波田駅（はた）
Hata Station (Hyogo)	葉多駅（はた）
Hatabu Station	幡生駅（はたぶ）
Hatada Station	畑田駅（はただ）
Hatae Station	波多江駅（はたえ）
Hatagaya Station	幡ヶ谷駅（はたがや）
Hatakeda Station	畠田駅（はたけだ）
Hataki Station	八多喜駅（はたき）
Hatama Station	端間駅（はたま）
Hatanodai Station	旗の台駅（はたのだい）
Hataura Station	波多浦駅（はたうら）
Hataya Station	幡屋駅（はたや）
Hatchōbori Station (Hiroshima)	八丁堀駅 (広島県)（はっちょうぼり）
Hatchōbori Station (Tokyo)	八丁堀駅 (東京都)（はっちょうぼり）
Hatchōmuta Station	八丁牟田駅（はっちょうむた）
Hatchōnawate Station	八丁畷駅（はっちょうなわて）
Hatogaya Station	鳩ヶ谷駅（はとがや）
Hatonosu Station	鳩ノ巣駅（はとのす）
Hatori Station	羽鳥駅（はとり）
Hatsudai Station	初台駅（はつだい）
Hatsuishi Station	初石駅（はついし）
Hatsukaichi Station	廿日市駅（はつかいち）
Hatsukaichi-shiyakusho-mae Station	廿日市市役所前駅（はつかいちしやくしょまえ）
Hatsukari Station	初狩駅（はつかり）
Hatsuno Station	初野駅（はつの）
Hatsushiba Station	初芝駅（はつしば）
Hatsushima Station	初島駅（はつしま）
Hatsutomi Station	初富駅（はつとみ）
Hatta Station	八田駅（はった）
Hattaushi Station	初田牛駅（はったうし）
Hattori Station	服部駅 (岡山県)（はっとり）
Hattorigawa Station	服部川駅（はっとりがわ）
Hattori-tenjin Station	服部天神駅（はっとりてんじん）
Hattō Station	八東駅（はっとう）
Haya Station	芳養駅（はや）
Hayabusa Station	隼駅（はやぶさ）
Hayadōri Station	早通駅（はやどおり）
Hayaguchi Station	早口駅（はやぐち）
Hayahoshi Station	速星駅（はやほし）
Hayakawa Station	早川駅（はやかわ）
Hayakita Station	早来駅（はやきた）
Hayase Station	早瀬駅（はやせ）
Hayashi Station	林駅（はやし）
Hayashima Station	早島駅（はやしま）
Hayashimichi Station	林道駅（はやしみち）
Hayashino Station	林野駅（はやしの）
Hayashisaki-Matsuekaigan Station	林崎松江海岸駅（はやしさきまつえかいがん）
Hayashizaki Station	林崎駅（はやしざき）
Hayato Station (Fukushima)	早戸駅（はやと）
Hayato Station (Kagoshima)	隼人駅（はやと）
Hayatsukikazumi Station	早月加積駅（はやつきかづみ）
Hayuka Station	羽床駅（はゆか）
Hazakawa Station	迫川駅（はざかわ）
Hazama Station (Kagawa)	羽間駅（はざま）
Hazama Station (Tokyo)	狭間駅（はざま）
Hazawa yokohama-kokudai Station	羽沢横浜国大駅（はざわよこはまこくだい）
Haze Station	波瀬駅（はぜ）
He[edit]
Hebita Station	蛇田駅（へびた）
Hegawa Station	辺川駅（へがわ）
Heguri Station	平群駅（へぐり）
Heiandōri Station	平安通駅（へいあんどおり）
Heijō Station	平城駅（へいじょう）
Heisei Station	平成駅（へいせい）
Heita Station	平田駅 (岩手県)（へいた）
Heiwa Station	平和駅（へいわ）
Heiwadai Station (Chiba)	平和台駅 (千葉県)（へいわだい）
Heiwadai Station (Tokyo)	平和台駅 (東京都)（へいわだい）
Heiwadōri Station	平和通駅（へいわどおり）
Heiwadōri-Itchōme Station	平和通一丁目駅（へいわどおりいっちょうめ）
Heiwajima Station	平和島駅（へいわじま）
Heizu Station	平津駅（へいづ）
Hekikai-Furui Station	碧海古井駅（へきかいふるい）
Hekinan Station	碧南駅（へきなん）
Hekinan-Chūō Station	碧南中央駅（へきなんちゅうおう）
Hemi Station	逸見駅（へみ）
Henashi Station	艫作駅（へなし）
Hesaka Station	戸坂駅（へさか）
Heta Station	戸田駅 (山口県)（へた）
Hi[edit]
Hibari Station	陽羽里駅（ひばり）
Hibarigaoka Station (Hokkaido)	ひばりが丘駅（ひばりがおか）
Hibarigaoka Station (Tokyo)	ひばりヶ丘駅（ひばりがおか）
Hibarigaoka-Hanayashiki Station	雲雀丘花屋敷駅（ひばりがおかはなやしき）
Hibayama Station	比婆山駅（ひばやま）
Hibino Station (Aisai, Aichi)	日比野駅 (愛知県愛西市)（ひびの）
Hibino Station (Nagoya, Aichi)	日比野駅 (愛知県名古屋市)（ひびの）
Hibiya Station	日比谷駅（ひびや）
Hida-Furukawa Station	飛騨古川駅（ひだふるかわ）
Hida-Hagiwara Station	飛騨萩原駅（ひだはぎわら）
Hida-Hosoe Station	飛騨細江駅（ひだほそえ）
Hida-Ichinomiya Station	飛騨一ノ宮駅（ひだいちのみや）
Hidaka-Horobetsu Station	日高幌別駅（ひだかほろべつ）
Hidaka-Mitsuishi Station	日高三石駅（ひだかみついし）
Hidaka-Mombetsu Station	日高門別駅（ひだかもんべつ）
Hida-Kanayama Station	飛騨金山駅（ひだかなやま）
Hidaka-Tōbetsu Station	日高東別駅（ひだかとうべつ）
Hida-Kokufu Station	飛騨国府駅（ひだこくふ）
Hida-Miyada Station	飛騨宮田駅（ひだみやだ）
Hida-Osaka Station	飛騨小坂駅（ひだおさか）
Hidariishi Station	左石駅（ひだりいし）
Hidariseki Station	左堰駅（ひだりせき）
Hideshio Station	日出塩駅（ひでしお）
Hideya Station	日出谷駅（ひでや）
Hido Station	比土駅（ひど）
Hie Station	比延駅（ひえ）
Hieizan-Sakamoto Station	比叡山坂本駅（ひえいざんさかもと）
Higashi-Abiko Station	東我孫子駅（ひがしあびこ）
Higashi-Agano Station	東吾野駅（ひがしあがの）
Higashi-Ainonai Station	東相内駅（ひがしあいのない）
Higashi-Akasaka Station	東赤坂駅（ひがしあかさか）
Higashi-Akiru Station	東秋留駅（ひがしあきる）
Higashi-Amagi Station	東甘木駅（ひがしあまぎ）
Higashi-Aohara Station	東青原駅（ひがしあおはら）
Higashi-Aomori Station	東青森駅（ひがしあおもり）
Higashi-Aoyama Station	東青山駅（ひがしあおやま）
Higashi-Asahikawa Station	東旭川駅（ひがしあさひかわ）
Higashi-Azuma Station	東あずま駅（ひがしあずま）
Higashi-Beppu Station	東別府駅（ひがしべっぷ）
Higashibetsuin Station	東別院駅（ひがしべついん）
Higashi-Biwajima Station	東枇杷島駅（ひがしびわじま）
Higashi-Chiba Station	東千葉駅（ひがしちば）
Higashichō Station	東町駅（ひがしちょう）
Higashidate Station	東館駅（ひがしだて）
Higashi-Fuchū Station	東府中駅（ひがしふちゅう）
Higashi-Fujishima Station	東藤島駅（ひがしふじしま）
Higashi-Fujiwara Station	東藤原駅（ひがしふじわら）
Higashi-Fukuma Station	東福間駅（ひがしふくま）
Higashi-Fukushima Station	東福島駅（ひがしふくしま）
Higashi-Fukuyama Station	東福山駅（ひがしふくやま）
Higashi-Funabashi Station	東船橋駅（ひがしふなばし）
Higashi-Funaoka Station	東船岡駅（ひがしふなおか）
Higashi-Fusamoto Station	東総元駅（ひがしふさもと）
