Ibara Station	井原駅 (岡山県)（いばら）
Ibaraichi Station	井原市駅（いばらいち）
Ibaraki Station	茨木駅（いばらき）
Ibaraki-shi Station	茨木市駅（いばらきし）
Ibarame Station	茨目駅（いばらめ）
Ibi Station	揖斐駅（いび）
Ibii Station	伊比井駅（いびい）
Iburihashi Station	動橋駅（いぶりはし）
Ibusuki Station	指宿駅（いぶすき）
Ichiba Station (Fukuoka)	市場駅 (福岡県)（いちば）
Ichiba Station (JR West)	市場駅 (JR西日本)（いちば）
Ichiba Station (Shintetsu)	市場駅 (神戸電鉄)（いちば）
Ichibataguchi Station	一畑口駅（いちばたぐち）
Ichibe Station	市部駅（いちべ）
Ichibu Station (Kumamoto)	一武駅（いちぶ）
Ichibu Station (Nara)	一分駅（いちぶ）
Ichiburi Station	市振駅（いちぶり）
Ichida Station	市田駅（いちだ）
Ichigao Station	市が尾駅（いちがお）
Ichigaya Station	市ケ谷駅（いちがや）
Ichihana Station	市塙駅（いちはな）
Ichihara Station	市原駅（いちはら）
Ichihashi Station	市橋駅（いちはし）
Ichijima Station	市島駅（いちじま）
Ichijōdani Station	一乗谷駅（いちじょうだに）
Ichijōji Station	一乗寺駅（いちじょうじ）
Ichikawa Station	市川駅（いちかわ）
Ichikawa-Daimon Station	市川大門駅（いちかわだいもん）
Ichikawa-hommachi Station	市川本町駅（いちかわほんまち）
Ichikawa-Mama Station	市川真間駅（いちかわまま）
Ichikawa-Ono Station	市川大野駅（いちかわおおの）
Ichikawa-Shiohama Station	市川塩浜駅（いちかわしおはま）
Ichiki Station	市来駅（いちき）
Ichinami Station	市波駅（いちなみ）
Ichinobe Station	市辺駅（いちのべ）
Ichinoe Station	一之江駅（いちのえ）
Ichinohe Station	一戸駅（いちのへ）
Ichinokawa Station	市ノ川駅（いちのかわ）
Ichinomiya Station	一宮駅（いちのみや）
Ichinomoto Station	櫟本駅（いちのもと）
Ichinose Station	市ノ瀬駅（いちのせ）
Ichinoseki Station	一ノ関駅（いちのせき）
Ichinotorii Station	一の鳥居駅（いちのとりい）
Ichinowari Station	一ノ割駅（いちのわり）
Ichinowatari Station	一の渡駅（いちのわたり）
Ichinuno Station	市布駅（いちぬの）
Ichio Station	市尾駅（いちお）
Ichioka Station	市岡駅（いちおか）
Ichishi Station	一志駅（いちし）
Ichishiro Station	市城駅（いちしろ）
Ichitana Station	市棚駅（いちたな）
Ichitsubo Station	市坪駅（いちつぼ）
Idagawa Station	井田川駅（いだがわ）
Idakiso Station	伊太祁曽駅（いだきそ）
