Kabaike Station	蒲池駅 (愛知県)（かばいけ）
Kabatake Station	神畑駅（かばたけ）
Kabe Station (Hiroshima)	可部駅（かべ）
Kabe Station (Tokyo)	河辺駅（かべ）
Kabuto Station (Fukushima)	兜駅（かぶと）
Kabuto Station (Mie)	加太駅 (三重県)（かぶと）
Kabutonuma Station	兜沼駅（かぶとぬま）
Kabutoyama Station	かぶと山駅（かぶとやま）
Kachidoki Station	勝どき駅（かちどき）
Kachigawa Station	勝川駅（かちがわ）
Kada Station	加太駅 (和歌山県)（かだ）
Kado Station	鹿渡駅（かど）
Kadogawa Station	門川駅（かどがわ）
Kadohara Station	勝原駅（かどはら）
Kadomaminami Station	門真南駅（かどまみなみ）
Kadomashi Station	門真市駅（かどまし）
Kadomatsu Station	門松駅（かどまつ）
Kadonohama Station	角の浜駅（かどのはま）
Kadosawabashi Station	門沢橋駅（かどさわばし）
Kadoshima Station	門島駅（かどしま）
Kaesa Station	替佐駅（かえさ）
Kafuri Station	加布里駅（かふり）
Kaga-Kasama Station	加賀笠間駅（かがかさま）
Kagami Station	香我美駅（かがみ）
Kagamigahara Station	各務ヶ原駅（かがみがはら）
Kagamigawabashi Station	鏡川橋駅（かがみがわばし）
Kagamiishi Station	鏡石駅（かがみいし）
Kagaonsen Station	加賀温泉駅（かがおんせん）
Kagato Station	香登駅（かがと）
Kagatsume Station	蚊爪駅（かがつめ）
Kagawa Station (Yamaguchi)	嘉川駅（かがわ）
Kagawa Station (Kanagawa)	香川駅（かがわ）
Kagemori Station	影森駅（かげもり）
Kageno Station	影野駅（かげの）
Kagetsuenmae Station	花月園前駅（かげつえんまえ）
Kagohara Station	籠原駅（かごはら）
Kagoshima Station	鹿児島駅（かごしま）
Kagoshima-chūō Station	鹿児島中央駅（かごしまちゅうおう）
Kagoshima-chūō-eki-mae Station	鹿児島中央駅前駅（かごしまちゅうおうえきまえ）
Kagoshima-eki-mae Station	鹿児島駅前駅（かごしまえきまえ）
Kaguraoka Station	神楽岡駅（かぐらおか）
Kagurazaka Station	神楽坂駅（かぐらざか）
Kaguyama Station	香久山駅（かぐやま）
Kaibara Station	柏原駅 (兵庫県)（かいばら）
Kaida Station	貝田駅（かいだ）
Kaifu Station	海部駅（かいふ）
Kaigan-dōri Station	海岸通駅（かいがんどおり）
Kaiganji Station	海岸寺駅（かいがんじ）
Kaihimmakuhari Station	海浜幕張駅（かいひんまくはり）
Kaihotsu Station	開発駅（かいほつ）
Kai-Iwama Station	甲斐岩間駅（かいいわま）
Kaiji Station	海路駅（かいじ）
Kaijin Station	海神駅（かいじん）
Kai-Koizumi Station	甲斐小泉駅（かいこいずみ）
Kaikonoyashiro Station	蚕ノ社駅（かいこのやしろ）
Kaimei Station	開明駅（かいめい）
Kaimon Station	開聞駅（かいもん）
Kaina Station	荷稲駅（かいな）
Kainan Station	海南駅（かいなん）
Kai-Ōizumi Station	甲斐大泉駅（かいおおいずみ）
Kai-Ōshima Station	甲斐大島駅（かいおおしま）
Kairakuen Station	偕楽園駅（かいらくえん）
Kaisei Station	開成駅（かいせい）
Kai-Sumiyoshi Station	甲斐住吉駅（かいすみよし）
Kaitaichi Station	海田市駅（かいたいち）
Kai-Tokiwa Station	甲斐常葉駅（かいときわ）
Kai-Ueno Station	甲斐上野駅（かいうえの）
Kai-Yamato Station	甲斐大和駅（かいやまと）
Kaizaki Station	海崎駅（かいざき）
Kaize Station (Nagano)	海瀬駅（かいぜ）
Kaize Station (Nagasaki)	皆瀬駅（かいぜ）
Kaizu Station	貝津駅（かいづ）
Kaizuka Station (Fukuoka)	貝塚駅 (福岡県)（かいづか）
Kaizuka Station (Osaka)	貝塚駅 (大阪府)（かいづか）
Kaizuka Shiyakushomae Station	貝塚市役所前駅（かいづかしやくしょまえ）
Kaji Station	加治駅（かじ）
Kajigaya Station	梶が谷駅（かじがや）
Kajigaya Kamotsu Terminal Station	梶ヶ谷貨物ターミナル駅（かじがやかもつたーみなる）
Kajikazawaguchi Station	鰍沢口駅（かじかざわぐち）
Kajiki Station	加治木駅（かじき）
Kajikuri-Gōdaichi Station	梶栗郷台地駅（かじくりごうだいち）
Kajita Station	梶田駅（かじた）
Kajiwara Station	梶原駅（かじわら）
Kajiyashiki Station	梶屋敷駅（かじやしき）
Kakamigahara-shiyakusho-mae Station	各務原市役所前駅（かかみがはらしやくしょまえ）
Kakarima Station	掛澗駅（かかりま）
Kakegawa Station	掛川駅（かけがわ）
Kakegawa-shiyakusho-mae Station	掛川市役所前駅（かけがわしやくしょまえ）
Kakeyama Station	佳景山駅（かけやま）
Kakidaira Station	柿平駅（かきだいら）
Kakigashima Station	柿ヶ島駅（かきがしま）
Kakinoki Station	柿ノ木駅（かきのき）
Kakio Station	柿生駅（かきお）
Kakishitaonsenguchi Station	柿下温泉口駅（かきしたおんせんぐち）
Kakizaki Station	柿崎駅（かきざき）
Kakogawa Station	加古川駅（かこがわ）
Kaku Station	賀来駅（かく）
Kakuda Station	角田駅（かくだ）
Kakumodani Station	角茂谷駅（かくもだに）
Kakunodate Station	角館駅（かくのだて）
Kakuōzan Station	覚王山駅（かくおうざん）
Kamabuchi Station	釜淵駅（かまぶち）
Kamachi Station	蒲池駅 (福岡県)（かまち）
Kamado Station	釜戸駅（かまど）
Kamagafuchi Station	釜ヶ淵駅（かまがふち）
Kamagaya Station	鎌ヶ谷駅（かまがや）
Kamagayadaibutsu Station	鎌ヶ谷大仏駅（かまがやだいぶつ）
Kamaishi Station	釜石駅（かまいし）
Kamakura Station	鎌倉駅（かまくら）
Kamakurakōkō-mae Station	鎌倉高校前駅（かまくらこうこうまえ）
Kamanohana Station	釜ノ鼻駅（かまのはな）
Kamase Station	鎌瀬駅（かませ）
Kamasusaka Station	蒲須坂駅（かますさか）
Kamata Station (Tokyo)	蒲田駅（かまた）
Kamata Station (Ehime)	鎌田駅（かまた）
Kamate Station	鎌手駅（かまて）
Kamatori Station	鎌取駅（かまとり）
Kamaya Station	釜谷駅（かまや）
Kambara Station	蒲原駅（かんばら）
Kambe Station	神戸駅 (愛知県)（かんべ）
Kameari Station	亀有駅（かめあり）
Kameda Station	亀田駅（かめだ）
Kamedake Station	亀嵩駅（かめだけ）
Kamegawa Station	亀川駅（かめがわ）
Kamei Station	亀井駅（かめい）
Kameido Station	亀戸駅（かめいど）
Kameidosuijin Station	亀戸水神駅（かめいどすいじん）
Kamejima Station	亀島駅（かめじま）
Kamenokō Station	亀甲駅（かめのこう）
Kameoka Station	亀岡駅（かめおか）
Kameyama Station (Hyogo)	亀山駅 (兵庫県)（かめやま）
Kameyama Station (Mie)	亀山駅 (三重県)（かめやま）
Kamezaki Station	亀崎駅（かめざき）
Kami Station	加美駅（かみ）
Kami-Ainoura Station	上相浦駅（かみあいのうら）
Kami-Arisu Station	上有住駅（かみありす）
Kami-Arita Station	上有田駅（かみありた）
Kami-Ashibetsu Station	上芦別駅（かみあしべつ）
Kami-Asō Station	上麻生駅（かみあそう）
Kami-Atsunai Station	上厚内駅（かみあつない）
Kamidaki Station	上滝駅（かみだき）
Kami-Fukawa Station	上深川駅（かみふかわ）
Kami-Fukuoka Station	上福岡駅 （かみふくおか）
Kami-Furano Station	上富良野駅（かみふらの）
Kami-Futada Station	上二田駅（かみふただ）
Kamigōri Station	上郡駅（かみごおり）
Kamigō Station	上郷駅（かみごう）
Kami-Gōra Station	上強羅駅（かみごうら）
Kamihama Station	上浜駅（かみはま）
Kami-Hinokinai Station	上桧木内駅（かみひのきない）
Kami-Hobara Station	上保原駅（かみほばら）
Kami-Honami Station	上穂波駅（かみほなみ）
Kamihongō Station	上本郷駅（かみほんごう）
Kami-Hommachi Station	上本町駅（かみほんまち）
Kamihori Station	上堀駅（かみほり）
Kami-Horomui Station	上幌向駅（かみほろむい）
Kami-Horonobe Station	上幌延駅（かみほろのべ）
Kami-Hoshikawa Station	上星川駅（かみほしかわ）
Kamiichi Station	上市駅（かみいち）
Kamiichiba Station	上市場駅（かみいちば）
Kamiichiman Station	上一万駅（かみいちまん）
Kami-Igusa Station	上井草駅（かみいぐさ）
Kamiiida Station	上飯田駅（かみいいだ）
Kami-Iijima Station	上飯島駅（かみいいじま）
Kami-Ijūin Station	上伊集院駅（かみいじゅういん）
Kami-Imai Station	上今井駅（かみいまい）
Kami-Imaichi Station	上今市駅（かみいまいち）
Kami-Imari Station	上伊万里駅（かみいまり）
Kamiiso Station	上磯駅（かみいそ）
Kami-Ita Station	上伊田駅（かみいた）
Kami-Itabashi Station	上板橋駅 （かみいたばし）
Kami-Iwami Station	上石見駅（かみいわみ）
Kamiizumi Station	上泉駅（かみいずみ）
Kamijō Station (Nagano)	上条駅 (長野県)（かみじょう）
Kamijō Station (Niigata)	上条駅 (新潟県)（かみじょう）
Kami-Kagawa Station	上嘉川駅（かみかがわ）
Kami-Kambai Station	上神梅駅（かみかんばい）
Kami-Kanada Station	上金田駅（かみかなだ）
Kami-Kasada Station	上笠田駅（かみかさだ）
Kami-Katagiri Station	上片桐駅（かみかたぎり）
Kami-Katsura Station	上桂駅（かみかつら）
Kamikawa Station	上川駅（かみかわ）
Kamikawaguchi Station	上川口駅 （かみかわぐち）
Kami-Kawatachi Station	上川立駅（かみかわたち）
Kamikitachō Station	上北町駅（かみきたちょう）
Kamikitadai Station	上北台駅（かみきただい）
Kami-Kitazawa Station	上北沢駅（かみきたざわ）
Kamikoma Station	上狛駅（かみこま）
Kami-Kosawa Station	上古沢駅（かみこさわ）
Kami-Kumagaya Station	上熊谷駅（かみくまがや）
Kami-Kumamoto Station	上熊本駅（かみくまもと）
Kami-Kumamoto-eki-mae Station	上熊本駅前駅（かみくまもとえきまえ）
Kami-Kuwanagawa Station	上桑名川駅（かみくわながわ）
Kamimachi Station	上町駅（かみまち）
Kamimaezu Station	上前津駅（かみまえづ）
Kami-Mamba Station	上万場駅（かみまんば）
Kami-Marubuchi Station	上丸渕駅（かみまるぶち）
Kami-Matsukawa Station	上松川駅（かみまつかわ）
Kami-Mio Station	上三緒駅（かみみお）
Kami-Mita Station	上三田駅（かみみた）
Kamimiyori-Shiobaraonsenguchi Station	上三依塩原温泉口駅（かみみよりしおばらおんせんぐち）
Kamimizo Station	上溝駅（かみみぞ）
Kamimoku Station	上牧駅 (群馬県)（かみもく）
Kami-Morioka Station	上盛岡駅（かみもりおか）
Kami-Moroe Station	上諸江駅（かみもろえ）
Kamimuragakuenmae Station	神村学園前駅（かみむらがくえんまえ）
Kami-Nagatoro Station	上長瀞駅（かみながとろ）
Kami-Nagaya Station	上永谷駅（かみながや）
Kaminaka Station	上中駅（かみなか）
Kami-Nakazato Station	上中里駅（かみなかざと）
Kaminobe Station	上野部駅（かみのべ）
Kaminochō Station	上の町駅（かみのちょう）
Kami-noge Station	上野毛駅（かみのげ）
Kaminogō Station	上之郷駅（かみのごう）
Kami-Nojiri Station	上野尻駅（かみのじり）
Kaminokuni Station	上ノ国駅（かみのくに）
Kaminoma Station	上野間駅（かみのま）
Kaminome Station	上野目駅（かみのめ）
Kami-Nopporo Station	上野幌駅（かみのっぽろ）
Kaminoshō Station	上ノ庄駅（かみのしょう）
Kaminotaishi Station	上ノ太子駅（かみのたいし）
Kaminoyama Onsen Station	かみのやま温泉駅（かみのやまおんせん）
Kamio Station	神尾駅（かみお）
Kamioboro Station	上尾幌駅（かみおぼろ）
Kamiogawa Station	上小川駅（かみおがわ）
Kamioka Station	上岡駅（かみおか）
Kami-Ōi Station	上大井駅（かみおおい）
Kami-Ōoka Station	上大岡駅（かみおおおか）
Kami-Ōtsuki Station	上大月駅（かみおおつき）
Kami-Otai Station	上小田井駅（かみおたい）
Kamisakaemachi Station	上栄町駅（かみさかえまち）
Kamisakai Station	上境駅（かみさかい）
Kamisawa Station (Aichi)	神沢駅（かみさわ）
Kamisawa Station (Hyōgo)	上沢駅（かみさわ）
Kami-Sendai Station	上川内駅（かみせんだい）
Kami-Shakujii Station	上石神井駅（かみしゃくじい）
Kami-Shinjō Station	上新庄駅 （かみしんじょう）
Kami-Shirataki Station	上白滝駅（かみしらたき）
Kamishiro Station	神城駅（かみしろ）
Kami-Shishiori Station	上鹿折駅（かみししおり）
Kamisu Station	神栖駅（かみす）
Kami-Sugaya Station	上菅谷駅（かみすがや）
Kamisuge Station	上菅駅（かみすげ）
Kamisugi Station (Akita)	上杉駅（かみすぎ）
Kamisugi Station (Hiroshima)	神杉駅（かみすぎ）
Kami-Suwa Station	上諏訪駅（かみすわ）
Kami-Tanoura Station	上田浦駅（かみたのうら）
Kamitobaguchi Station	上鳥羽口駅（かみとばぐち）
Kamitode Station	上戸手駅（かみとで）
Kami-Toyota Station	上豊田駅（かみとよた）
Kamiura Station	上浦駅（かみうら）
Kami-Usuki Station	上臼杵駅（かみうすき）
Kami-Uwa Station	上宇和駅（かみうわ）
Kami-Wakuya Station	上涌谷駅（かみわくや）
Kamiya Station	神谷駅（かみや）
Kamiyachō Station	神谷町駅（かみやちょう）
Kami-Yagi Station	上八木駅（かみやぎ）
Kami-Yakuno Station	上夜久野駅（かみやくの）
Kamiya-chō-higashi Station	紙屋町東駅（かみやちょうひがし）
Kamiya-chō-nishi Station	紙屋町西駅（かみやちょうにし）
Kamiyama Station	神山駅（かみやま）
Kami-Yamaguchi Station	上山口駅（かみやまぐち）
Kamiyashiro Station	上社駅（かみやしろ）
Kamiyasu Station	上安駅（かみやす）
Kami-Yokosuka Station	上横須賀駅（かみよこすか）
Kami-Yonai Station	上米内駅（かみよない）
Kami-Yuzawa Station	上湯沢駅（かみゆざわ）
Kammaki Station	上牧駅 (大阪府)（かんまき）
Kamo Station (Fukuoka)	賀茂駅（かも）
Kamo Station (Kyoto)	加茂駅 (京都府)（かも）
Kamo Station (Mie)	加茂駅 (三重県)（かも）
Kamo Station (Niigata)	加茂駅 (新潟県)（かも）
Kamogata Station	鴨方駅（かもがた）
Kamogawa Station	鴨川駅（かもがわ）
Kamogō Station	加茂郷駅（かもごう）
Kamoi Station	鴨居駅（かもい）
Kamojima Station	鴨島駅（かもじま）
Kamonaka Station	加茂中駅（かもなか）
Kamono Station	加茂野駅（かもの）
Kamonomiya Station (Saitama)	加茂宮駅（かものみや）
Kamonomiya Station (Kanagawa)	鴨宮駅（かものみや）
Kamuriki Station	冠着駅（かむりき）
Kamuro Station	学文路駅（かむろ）
Kan'onji Station	観音寺駅 (香川県)（かんおんじ）
Kanada Station	金田駅（かなだ）
Kanae Station	鼎駅（かなえ）
Kanagawa Station (Okayama)	金川駅（かながわ）
Kanagawa Station (Kanagawa)	神奈川駅（かながわ）
Kanagawa-Shinmachi Station	神奈川新町駅（かながわしんまち）
Kanagi Station	金木駅（かなぎ）
Kanahashi Station	金橋駅（かなはし）
Kanaishihara Station	金石原駅（かないしはら）
Kanamachi Station	金町駅 (東京都)（かなまち）
Kanamechō Station	要町駅（かなめちょう）
Kanameta Station	要田駅（かなめた）
Kanasashi Station	金指駅（かなさし）
Kanashima Station	金島駅 (群馬県)（かなしま）
Kanatake Station	金武駅（かなたけ）
Kanaya Station	金谷駅（かなや）
Kanayagawa Station	金谷川駅（かなやがわ）
Kanayama Station (Aichi)	金山駅 (愛知県)（かなやま）
Kanayama Station (Fukuoka)	金山駅 (福岡県)（かなやま）
Kanayama Station (Hokkaido)	金山駅 (北海道)（かなやま）
Kanayama-chō Station	銀山町駅（かなやまちょう）
Kanayasawa Station	金谷沢駅（かなやさわ）
Kanazawa Station	金沢駅（かなざわ）
Kanazawa-Bunko Station	金沢文庫駅（かなざわぶんこ）
Kanazawa-Hakkei Station	金沢八景駅（かなざわはっけい）
Kanazuka Station	金塚駅（かなづか）
Kanda Station (Fukuoka)	苅田駅（かんだ）
Kanda Station (Tokyo)	神田駅 (東京都)（かんだ）
Kandaimae Station	関大前駅（かんだいまえ）
Kandatsu Station	神立駅（かんだつ）
Kaneage Station	金上駅（かねあげ）
Kanegafuchi Station	鐘ヶ淵駅（かねがふち）
Kanegasaki Station	金ヶ崎駅（かねがさき）
Kanehama Station	金浜駅（かねはま）
Kanehana Station	金華駅（かねはな）
Kaneko Station	金子駅（かねこ）
Kanemaru Station	金丸駅（かねまる）
Kanente Station	金手駅（かねんて）
Kaneshima Station	金島駅 (福岡県)（かねしま）
Kangetsukyō Station	観月橋駅（かんげつきょう）
