Mabashi Station	馬橋駅（まばし）
Mabori-Kaigan Station	馬堀海岸駅（まぼりかいがん）
Machida Station (Odakyu)	町田駅（まちだ）
Machida Station (JR East)	町田駅（まちだ）
Machikata Station	町方駅（まちかた）
Machiya Station	町屋駅（まちや）
Machiya-ekimae Station	町屋駅前停留場（まちやえきまえ）
Machiya-nichōme Station	町屋二丁目停留場（まちやにちょうめ）
Mada Station	馬田駅（まだ）
Maebara Station	前原駅（まえばら）
Maebashi Station	前橋駅（まえばし）
Maebashi-Ōshima Station	前橋大島駅（まえばしおおしま）
Maedaminami Station	前田南駅（まえだみなみ）
Maegō Station	前郷駅（まえごう）
Maehama Station	前浜駅（まえはま）
Maehirakōen Station	前平公園駅（まえひらこうえん）
Maekawa Station	前川駅（まえかわ）
Maenohama Station	前之浜駅（まえのはま）
Maesawa Station	前沢駅（まえさわ）
Maeyachi Station	前谷地駅（まえやち）
Maeyama Station	前山駅（まえやま）
Maezora Station	前空駅（まえぞら）
Magae Station	馬替駅（まがえ）
Magarikane Station	勾金駅（まがりかね）
Magarisawa Station	曲沢駅（まがりさわ）
Magome Station	馬込駅（まごめ）
Magomezawa Station	馬込沢駅（まごめざわ）
Magura Station	真倉駅（まぐら）
Maibara Station	米原駅（まいばら）
Maidashi Kyūdaibyōin-mae Station	馬出九大病院前駅（まいだしきゅうだいびょういんまえ）
Maihama Station	舞浜駅（まいはま）
Maiko Station	舞子駅（まいこ）
Maikokōen Station	舞子公園駅（まいここうえん）
Maimatsubara Station	舞松原駅（まいまつばら）
Maioka Station	舞岡駅（まいおか）
Maisaka Station	舞阪駅（まいさか）
Maita Station (Kanagawa)	蒔田駅（まいた）
Maita Station (Nagano)	舞田駅（まいた）
Maji Station	馬路駅（まじ）
Majima Station	間島駅（まじま）
Maki Station (Niigata)	巻駅（まき）
Maki Station (Kyoto)	牧駅 (京都府)（まき）
Maki Station (Oita)	牧駅 (大分県)（まき）
Makimuku Station	巻向駅（まきむく）
Makino Station (Shiga)	マキノ駅（まきの）
Makino Station (Osaka)	牧野駅（まきの）
Makinokō Station	牧之郷駅（まきのこう）
Makiochi Station	牧落駅（まきおち）
Makishi Station	牧志駅（まきし）
Makiyama Station	牧山駅（まきやま）
Makomanai Station	真駒内駅（まこまない）
Makubetsu Station	幕別駅（まくべつ）
Makuhari Station	幕張駅（まくはり）
Makuharihongō Station	幕張本郷駅（まくはりほんごう）
Makurazaki Station	枕崎駅（まくらざき）
Makuta Station	馬来田駅（まくた）
Mamada Station	間々田駅（ままだ）
Mamba Station	万場駅（まんば）
Mamurogawa Station	真室川駅（まむろがわ）
Managashi Station	馬流駅（まながし）
Managura Station	万能倉駅（まなぐら）
Manai Station	間内駅（まない）
Manazuru Station	真鶴駅（まなづる）
Manganji Station	万願寺駅（まんがんじ）
Mangatsuka Station	万ヶ塚駅（まんがつか）
Mangoku-Ura Station	万石浦駅（まんごくうら）
Maniwa Station	馬庭駅（まにわ）
Mantomi Station	万富駅（まんとみ）
Manseibashi Station	万世橋駅（まんせいばし）
Manza-Kazawaguchi Station	万座・鹿沢口駅（まんざ・かざわぐち）
Maoroshi Station	馬下駅（まおろし）
Mappu Station	真布駅（まっぷ）
Mareppu Station	稀府駅（まれっぷ）
Marine Park Station	マリンパーク駅
Marubuchi Station	丸渕駅（まるぶち）
Marugame Station	丸亀駅（まるがめ）
Marumori Station	丸森駅（まるもり）
Marunouchi Station (Kiyosu)	丸ノ内駅（まるのうち）
Marunouchi Station (Nagoya, Aichi)	丸の内駅 (愛知県)（まるのうち）
Marunouchi Station (Toyama)	丸の内駅 (富山県)（まるのうち）
Maruo Station	丸尾駅（まるお）
Maruoka Station	丸岡駅（まるおか）
Maruseppu Station	丸瀬布駅（まるせっぷ）
Marutamachi Station	丸太町駅（まるたまち）
Maruyama Station (Hyogo)	丸山駅 (兵庫県)（まるやま）
Maruyama Station (Mie)	丸山駅 (三重県)（まるやま）
Maruyama Station (Saitama)	丸山駅 (埼玉県)（まるやま）
Maruyamakōen Station	円山公園駅（まるやまこうえん）
Maruyamashita Station	丸山下駅（まるやました）
Masaki Station (Ehime)	松前駅（まさき）
Masaki Station (Miyazaki)	真幸駅（まさき）
Masaru Station	真申駅（まさる）
Mashike Station	増毛駅（ましけ）
Mashiko Station	益子駅（ましこ）
Mashū Station	摩周駅（ましゅう）
Masuda Station	益田駅（ますだ）
Masuga Station	真菅駅（ますが）
Masukata Station	升形駅（ますかた）
Masuo Station (Mie)	益生駅（ますお）
Masuo Station (Chiba)	増尾駅（ますお）
Masuura Station	鱒浦駅（ますうら）
Masuzawa Station	鱒沢駅（ますざわ）
Mataki Station	真滝駅（またき）
Matoba Station	的場駅（まとば）
Matoba-cho Station	的場町駅（まとばちょう）
Matogata Station	的形駅（まとがた）
Matō Station	間藤駅（まとう）
Matsuba Station	松葉駅（まつば）
Matsubara Station (Nagasaki)	松原駅 (長崎県)（まつばら）
Matsubara Station (Tokyo)	松原駅 (東京都)（まつばら）
Matsubarako Station	松原湖駅（まつばらこ）
Matsubase Station	松橋駅（まつばせ）
Matsuchi Station	真土駅（まつち）
Matsuda Station	松田駅（まつだ）
Matsudai Station	まつだい駅
Matsudo Station	松戸駅（まつど）
Matsudo-Shinden Station	松戸新田駅（まつどしんでん）
Matsue Station	松江駅（まつえ）
Matsue English Garden Mae Station	松江イングリッシュガーデン前駅（まつえいんぐりっしゅがーでんまえ）
Matsue Shinjiko-onsen Station	松江しんじ湖温泉駅（まつえしんじこおんせん）
Matsue Vogel Park Station	松江フォーゲルパーク駅（まつえふぉーげるぱーく）
Matsugasaki Station (Kyoto)	松ヶ崎駅 (京都府)（まつがさき）
Matsugasaki Station (Mie)	松ヶ崎駅 (三重県)（まつがさき）
Matsugaura Station	松ヶ浦駅（まつがうら）
Matsugaya Station	松が谷駅（まつがや）
Matsugishi Station	松岸駅（まつぎし）
Matsuhidai Station	松飛台駅（まつひだい）
Matsuhisa Station	松久駅（まつひさ）
Matsuida Station	松井田駅（まついだ）
Matsuiwa Station	松岩駅（まついわ）
Matsui-Yamate Station	松井山手駅（まついやまて）
Matsukami Station	松神駅（まつかみ）
Matsukawa Station	松川駅（まつかわ）
Matsukitai Station	松木平駅（まつきたい）
Matsukura Station	松倉駅（まつくら）
Matsukusa Station	松草駅（まつくさ）
Matsumaru Station	松丸駅（まつまる）
Matsumori Station	松森駅（まつもり）
Matsumoto Station	松本駅（まつもと）
Matsumoto Machiya Station	まつもと町屋駅（まつもとまちや）
Matsumushi Station	松虫駅（まつむし）
Matsunaga Station	松永駅（まつなが）
Matsunobamba Station	松ノ馬場駅（まつのばんば）
Matsunohama Station	松ノ浜駅（まつのはま）
Matsunoodera Station	松尾寺駅（まつのおでら）
Matsuo Station (Chiba)	松尾駅 (千葉県)（まつお）
Matsuo Station (Mie)	松尾駅 (三重県)（まつお）
Matsuo-Hachimantai Station	松尾八幡平駅（まつおはちまんたい）
Matsuoka Station	松岡駅（まつおか）
Matsuomachi Station	松尾町駅（まつおまち）
Matsuo-taisha Station	松尾大社駅（まつおたいしゃ）
Matsusaka Station	松阪駅（まつさか）
Matsushima Station	松島駅（まつしま）
Matsushima-Kaigan Station	松島海岸駅（まつしまかいがん）
Matsushima-Nichōme Station	松島二丁目駅（まつしまにちょうめ）
Matsushita Station	松下駅（まつした）
Matsuura Station	松浦駅（まつうら）
Matsuyama Station (Ehime)	松山駅 (愛媛県)（まつやま）
Matsuyama Station (Fukuoka)	松山駅 (福岡県)（まつやま）
Matsuyamachi Station	松屋町駅（まつやまち）
Matsuyama-ekimae Station	松山駅前駅（まつやまえきまえ）
Matsuyama-Machi Station (Miyagi)	松山町駅 (宮城県)（まつやままち）
Matsuyama-Machi Station (Nagasaki)	松山町駅 (長崎県)（まつやままち）
Matsuyamashi Station	松山市駅（まつやまし）
Matsuyamashi-ekimae Station	松山市駅前駅（まつやましえきまえ）
Matsuzaki Station (Fukuoka)	松崎駅 (福岡県)（まつざき）
Matsuzaki Station (Tottori)	松崎駅 (鳥取県)（まつざき）
Matsuzuka Station	松塚駅（まつづか）
Mattō Station	松任駅（まっとう）
Maya Cable Station	摩耶ケーブル駅（まやけーぶる）
Maya Station	摩耶駅（まや）
Me[edit]
Mede Station	目出駅（めで）
Mefujinja Station	売布神社駅（めふじんじゃ）
Mega Station (Hyogo)	妻鹿駅（めが）
Mega Station (Yamagata)	女鹿駅（めが）
Megumino Station	恵み野駅（めぐみの）
Meguro Station	目黒駅（めぐろ）
Meidaimae Station	明大前駅（めいだいまえ）
Meiden-Akasaka Station	名電赤坂駅（めいでんあかさか）
Meiden-Kakamigahara Station	名電各務原駅（めいでんかかみがはら）
Meiden-Nagasawa Station	名電長沢駅（めいでんながさわ）
Meiden-Yamanaka Station	名電山中駅（めいでんやまなか）
Meihō Station	明峰駅（めいほう）
Meiji-Jingūmae Station	明治神宮前駅（めいじじんぐうまえ）
Meijōkōen Station	名城公園駅（めいじょうこうえん）
Meinohama Station	姪浜駅（めいのはま）
Meitetsu Gifu Station	名鉄岐阜駅（めいてつぎふ）
Meitetsu Ichinomiya Station	名鉄一宮駅（めいてついちのみや）
Meitetsu Nagoya Station	名鉄名古屋駅（めいてつなごや）
Mejiro Station	目白駅（めじろ）
Mejirodai Station	めじろ台駅（めじろだい）
Mejiroyamashita Station	目白山下駅（めじろやました）
Memambetsu Station	女満別駅（めまんべつ）
Memuro Station	芽室駅（めむろ）
Mena Station	目名駅（めな）
Menden Station	免田駅 (石川県)（めんでん）
Meotoishi Station	夫婦石駅（めおといし）
Metoki Station	目時駅（めとき）
Mi[edit]
Miai Station	美合駅（みあい）
Mibu Station	壬生駅（みぶ）
Michikawa Station	道川駅（みちかわ）
Michinoo Station	道ノ尾駅（みちのお）
Michinoue Station	道上駅（みちのうえ）
Mida Station	箕田駅（みだ）
Midaibashi Station	三代橋駅（みだいばし）
Midami Station	美談駅（みだみ）
Midaregawa Station	乱川駅（みだれがわ）
Midō Station	御堂駅（みどう）
Midori Station (Gifu)	水鳥駅（みどり）
Midori Station (Hokkaidō)	緑駅（みどり）
Midoribashi Station	緑橋駅（みどりばし）
Midorichō Station	緑町駅（みどりちょう）
Midoridai Station	みどり台駅（みどりだい）
Midorigaoka Station (Hokkaido)	緑が丘駅 (北海道)（みどりがおか）
Midorigaoka Station (Hyogo)	緑が丘駅 (兵庫県)（みどりがおか）
Midorigaoka Station (Tokyo)	緑が丘駅 (東京都)（みどりがおか）
Midorii Station	緑井駅（みどりい）
Midorikawa Station	緑川駅（みどりかわ）
Midoriko Station	みどり湖駅（みどりこ）
Midorino Station	みどりの駅
Mie Station	三会駅（みえ）
Miebashi Station	美栄橋駅（みえばし）
Mieji Station	美江寺駅（みえじ）
Miemachi Station	三重町駅（みえまち）
