Nabari Station	名張駅（なばり）
Nabata Station	菜畑駅（なばた）
Nabekura Station	鍋倉駅（なべくら）
Nabera Station	鍋原駅（なべら）
Nabeshima Station	鍋島駅（なべしま）
Nachi Station	那智駅（なち）
Nada Station	灘駅（なだ）
Nadachi Station	名立駅（なだち）
Naebo Station	苗穂駅（なえぼ）
Nagae Station	長江駅（ながえ）
Nagahama Station	長浜駅（ながはま）
Nagahara Station (Shiga)	永原駅（ながはら）
Nagahara Station (Osaka)	長原駅 (大阪府)（ながはら）
Nagahara Station (Tokyo)	長原駅 (東京都)（ながはら）
Nagahoribashi Station	長堀橋駅（ながほりばし）
Nagai Station (Yamagata)	長井駅（ながい）
Nagai Station (Osaka)	長居駅（ながい）
Nagaike Station	長池駅（ながいけ）
Nagaizumi-Nameri Station	長泉なめり駅（ながいずみなめり）
Nagakute-Kosenjō Station	長久手古戦場駅（ながくてこせんじょう）
Nagamachi Station	長町駅（ながまち）
Nagamachi-Itchōme Station	長町一丁目駅（ながまちいっちょうめ）
Nagamachi-Minami Station	長町南駅（ながまちみなみ）
Nagamine Station	長峰駅（ながみね）
Nagamori Station	長森駅（ながもり）
Naganawashiro Station	長苗代駅（ながなわしろ）
Nagano Station	長野駅（ながの）
Naganohara-Kusatsuguchi Station	長野原草津口駅（ながのはらくさつぐち）
Naganuma Station (Shizuoka)	長沼駅 (静岡県)（ながぬま）
Naganuma Station (Tokyo)	長沼駅 (東京都)（ながぬま）
Nagao Station (Kagawa)	長尾駅 (香川県)（ながお）
Nagao Station (Osaka)	長尾駅 (大阪府)（ながお）
Nagao Station (Saga)	永尾駅（ながお）
Nagaoka Station	長岡駅（ながおか）
Nagaokakyō Station	長岡京駅（ながおかきょう）
Nagaoka-Tenjin Station	長岡天神駅（ながおかてんじん）
Nagara Station	長柄駅（ながら）
Nagareyama Station	流山駅（ながれやま）
Nagareyamaonsen Station	流山温泉駅（ながれやまおんせん）
