Sabae Station	鯖江駅（さばえ）
Sabaishi Station	鯖石駅（さばいし）
Sabane Station	佐羽根駅（さばね）
Sabase Station	鯖瀬駅（さばせ）
Sachiura Station	幸浦駅（さちうら）
Sadamitsu Station	貞光駅（さだみつ）
Sadōri Station	左通駅（さどおり）
Sadowara Station	佐土原駅（さどわら）
Saeki-Kuyakushomae Station	佐伯区役所前駅（さえきくやくしょまえ）
Saga Station	佐賀駅（さが）
Saga-Arashiyama Station	嵯峨嵐山駅（さがあらしやま）
Sagae Station	寒河江駅（さがえ）
Saga-Kōen Station	佐賀公園駅（さがこうえん）
Sagamihara Station	相模原駅（さがみはら）
Sagami-Kaneko Station	相模金子駅（さがみかねこ）
Sagamiko Station	相模湖駅（さがみこ）
Sagamino Station	さがみ野駅（さがみの）
Sagami-Numata Station	相模沼田駅（さがみぬまた）
Sagami-Ōno Station	相模大野駅（さがみおおの）
Sagami-Ōtsuka Station	相模大塚駅（さがみおおつか）
Sagarahan-Ganjōji Station	相良藩願成寺駅（さがらはんがんじょうじ）
Saginomiya Station (Shizuoka)	さぎの宮駅（さぎのみや）
Saginomiya Station (Tokyo)	鷺ノ宮駅（さぎのみや）
Saginuma Station	鷺沼駅（さぎぬま）
Sagoshi Station	砂越駅（さごし）
Sai Station	西院駅（さい）
Saichi Station	最知駅（さいち）
Saidaiji Station	西大寺駅（さいだいじ）
Saidōsho Station	採銅所駅（さいどうしょ）
Saigane Station	西金駅（さいがね）
Saigata Station	犀潟駅（さいがた）
Saigawa Station	犀川駅（さいがわ）
Saigō Station	西郷駅（さいごう）
Saiin Station	西院駅（さいいん）
Saijō Station	西条駅 (広島県)（さいじょう）
Saiki Station	佐伯駅（さいき）
Saikū Station	斎宮駅（さいくう）
Saimyōji Station	西明寺駅（さいみょうじ）
Saishun Iryo Center Mae Station	再春医療センター前駅（さいしゅんいりょうせんたーまえ）
Saitama-Shintoshin Station	さいたま新都心駅（さいたましんとしん）
Saito-Nishi Station	彩都西駅（さいとにし）
Saitozaki Station	西戸崎駅（さいとざき）
Saiwai Station	幸駅（さいわい）
Saka Station	坂駅（さか）
Sakabe Station	坂部駅（さかべ）
Sakado Station (Fukuoka)	酒殿駅（さかど）
Sakado Station (Ibaraki)	坂戸駅 (茨城県)（さかど）
Sakado Station (Saitama)	坂戸駅 (埼玉県)（さかど）
Sakae Station (Aichi)	栄駅 (愛知県)（さかえ）
Sakae Station (Hyogo)	栄駅 (兵庫県)（さかえ）
Sakae Station (Okayama)	栄駅 (岡山県)（さかえ）
Sakaechō Station (Chiba)	栄町駅 (千葉県)（さかえちょう）
Sakaechō Station (Tokyo)	栄町駅 (東京都)（さかえちょう）
Sakaemachi Station (Aichi)	栄町駅 (愛知県)（さかえまち）
Sakaemachi Station (Hokkaido)	栄町駅 (北海道)（さかえまち）
Sakaemachi Station (Toyama)	栄町駅 (富山県)（さかえまち）
Sakahogi Station	坂祝駅（さかほぎ）
Sakai Station	堺駅（さかい）
Sakaibashi Station	坂井橋駅（さかいばし）
Sakaida Station	堺田駅（さかいだ）
Sakaide Station	坂出駅（さかいで）
Sakai-Higashi Station	堺東駅（さかいひがし）
Sakaimachi Station	境町駅（さかいまち）
Sakaimatsu Station	境松駅（さかいまつ）
Sakaiminato Station	境港駅（さかいみなと）
Sakaishi Station	堺市駅（さかいし）
Sakaisuji-Hommachi Station	堺筋本町駅（さかいすじほんまち）
Sakakami Station	坂上駅（さかかみ）
Sakaki Station	坂城駅（さかき）
Sakakibara-Onsenguchi Station	榊原温泉口駅（さかきばらおんせんぐち）
Sakakita Station	坂北駅（さかきた）
Sakamachi Station	坂町駅（さかまち）
Sakamoto Station (Kumamoto)	坂本駅 (熊本県)（さかもと）
Sakamoto Station (Miyagi)	坂元駅（さかもと）
Sakamoto-hieizanguchi Station	坂本比叡山口駅（さかもとひえいざんぐち）
Sakane Station	坂根駅（さかね）
Sakanoichi Station	坂ノ市駅（さかのいち）
Sakanoue Station	坂之上駅（さかのうえ）
Sakaori Station	酒折駅（さかおり）
Sakari Station	盛駅（さかり）
Sakasai Station	逆井駅（さかさい）
Sakasegawa Station	逆瀬川駅（さかせがわ）
Sakashita Station	坂下駅（さかした）
Sakata Station (Shiga)	坂田駅（さかた）
Sakata Station (Yamagata)	酒田駅（さかた）
Sakawa Station	佐川駅（さかわ）
Sakidaira Station	崎平駅（さきだいら）
Sakihana Station	咲花駅（さきはな）
Sakimori Station	崎守駅（さきもり）
Sakiyama Station	崎山駅（さきやま）
Sakkuru Station	咲来駅（さっくる）
Sako Station	佐古駅（さこ）
Sakō Station	栄生駅（さこう）
Sakogi Station	佐古木駅（さこぎ）
Sakoshi Station	坂越駅（さこし）
Saku Station	佐久駅（さく）
Sakudaira Station	佐久平駅（さくだいら）
Sakugiguchi Station	作木口駅（さくぎぐち）
Saku-Hirose Station	佐久広瀬駅（さくひろせ）
Sakuma Station	佐久間駅（さくま）
Sakunami Station	作並駅（さくなみ）
Sakura Station (Aichi)	桜駅 (愛知県)（さくら）
Sakura Station (Chiba)	佐倉駅（さくら）
Sakura Station (Mie)	桜駅 (三重県)（さくら）
Sakurabashi Station (Shizuoka)	桜橋駅 (静岡県)（さくらばし）
Sakurabashi Station (Toyama)	桜橋駅 (富山県)（さくらばし）
Sakuradai Station (Fukuoka)	桜台駅 (福岡県)（さくらだい）
Sakuradai Station (Tokyo)	桜台駅 (東京都)（さくらだい）
Sakuradamon Station	桜田門駅（さくらだもん）
Sakuragaoka Station	桜ヶ丘駅（さくらがおか）
Sakuragawa Station (Osaka)	桜川駅 (大阪府)（さくらがわ）
Sakuragawa Station (Shiga)	桜川駅 (滋賀県)（さくらがわ）
Sakuragi Station (Chiba)	桜木駅 (千葉県)（さくらぎ）
Sakuragi Station (Shizuoka)	桜木駅 (静岡県)（さくらぎ）
Sakuragichō Station	桜木町駅（さくらぎちょう）
Sakurahommachi Station	桜本町駅（さくらほんまち）
Sakurai Station (Aichi)	桜井駅 (愛知県)（さくらい）
Sakurai Station (Nara)	桜井駅 (奈良県)（さくらい）
Sakurai Station (Osaka)	桜井駅 (大阪府)（さくらい）
Sakurajima Station	桜島駅（さくらじま）
Sakurajōsui Station	桜上水駅（さくらじょうすい）
Sakurakaidō Station	桜街道駅（さくらかいどう）
Sakuramachi Station (Nagano)	桜町駅 (長野県)（さくらまち）
Sakuramachi Station (Nagasaki)	桜町駅 (長崎県)（さくらまち）
Sakuramachimae Station	桜町前駅（さくらまちまえ）
Sakurambo Higashine Station	さくらんぼ東根駅（さくらんぼひがしね）
Sakuramizu Station	桜水駅（さくらみず）
Sakuranomiya Station	桜ノ宮駅（さくらのみや）
Sakuraoka Station	桜岡駅（さくらおか）
Sakurasawa Station	桜沢駅 (長野県)（さくらさわ）
Sakura-Shinmachi Station	桜新町駅（さくらしんまち）
Sakura Shukugawa Station	さくら夙川駅（さくらしゅくがわ）
Sakurayama Station	桜山駅（さくらやま）
Sakurazaka Station	桜坂駅（さくらざか）
Sakurazawa Station	桜沢駅 (埼玉県)（さくらざわ）
Sakusabe Station	作草部駅（さくさべ）
Saku-Uminokuchi Station	佐久海ノ口駅（さくうみのくち）
Sakyōyama Station	左京山駅（さきょうやま）
Samani Station	様似駅（さまに）
Sambashidōri-Gochōme Station	桟橋通五丁目駅（さんばしどおりごちょうめ）
Sambashi-Shakomae Station	桟橋車庫前駅（さんばししゃこまえ）
Sambommatsu Station (Kagawa)	三本松駅 (香川県)（さんぼんまつ）
Sambommatsu Station (Nara)	三本松駅 (奈良県)（さんぼんまつ）
Sambommatsuguchi Station	三本松口駅（さんぼんまつぐち）
Same Station	鮫駅（さめ）
Samegai Station	醒ヶ井駅（さめがい）
Samezu Station	鮫洲駅（さめず）
Samitagawa Station	佐味田川駅（さみたがわ）
Samizo Station	三溝駅（さみぞ）
Sammaibashi Station	三枚橋駅（さんまいばし）
Sammi Station	三見駅（さんみ）
Sammon Station	山門駅（さんもん）
Samukawa Station	寒川駅（さむかわ）
Samuraihama Station	侍浜駅（さむらいはま）
Sana Station	佐奈駅（さな）
Sanage Station	猿投駅（さなげ）
Sanagu Station	佐那具駅（さなぐ）
Sanda Station	三田駅 (兵庫県)（さんだ）
Sanda-Hommachi Station	三田本町駅（さんだほんまち）
Sangamori Station	三ヶ森駅（さんがもり）
Sangane Station	三ヶ根駅（さんがね）
Sangenjaya Station	三軒茶屋駅（さんげんぢゃや）
Sangō Station (Aichi)	三郷駅 (愛知県)（さんごう）
Sangō Station (Nara)	三郷駅 (奈良県)（さんごう）
Sangūbashi Station	参宮橋駅（さんぐうばし）
Sangyō-dōro Station	産業道路駅（さんぎょうどうろ）
Sangyō Shinkō Center Station	産業振興センター駅（さんぎょうしんこうせんたー）
Sanjō Station (Fukuoka)	山上駅 (福岡県)（さんじょう）
Sanjō Station (Kagawa)	三条駅 (香川県)（さんじょう）
Sanjō Station (Kyoto)	三条駅 (京都府)（さんじょう）
Sanjō Station (Niigata)	三条駅 (新潟県)（さんじょう）
Sanjō-Keihan Station	三条京阪駅（さんじょうけいはん）
Sanjūhassha Station	三十八社駅（さんじゅうはっしゃ）
Sannohe Station	三戸駅（さんのへ）
Sannomiya Station (JR West)	三ノ宮駅（さんのみや）
Sannomiya Station	三宮駅（さんのみや）
Sannomiya-Hanadokeimae Station	三宮・花時計前駅（さんのみや・はなどけいまえ）
Sannō Station (Aichi)	山王駅 (愛知県)（さんのう）
Sannō Station (Fukui)	山王駅 (福井県)（さんのう）
Sano Station	佐野駅（さの）
Sanonowatashi Station	佐野のわたし駅（さののわたし）
Sanoshi Station	佐野市駅（さのし）
Sanrigi Station	三里木駅（さんりぎ）
Sanriku Station	三陸駅（さんりく）
Sanroku Station (Fukuoka)	山麓駅 (福岡県)（さんろく）
Sansai Station	三才駅（さんさい）
Sanuki Station	佐貫駅（さぬき）
Sanuki-Aioi Station	讃岐相生駅（さぬきあいおい）
Sanuki-Fuchū Station	讃岐府中駅（さぬきふちゅう）
Sanukimachi Station	佐貫町駅（さぬきまち）
Sanuki-Mure Station	讃岐牟礼駅（さぬきむれ）
Sanuki-Saida Station	讃岐財田駅（さぬきさいだ）
Sanuki-Shioya Station	讃岐塩屋駅（さぬきしおや）
Sanuki-Shirotori Station	讃岐白鳥駅（さぬきしろとり）
Sanuki-Tsuda Station	讃岐津田駅（さぬきつだ）
Sanyo Aboshi Station	山陽網干駅（さんようあぼし）
Sanyo Akashi Station	山陽明石駅（さんようあかし）
Sanyo Himeji Station	山陽姫路駅（さんようひめじ）
Sanyō-Joshidaimae Station	山陽女子大前駅（さんようじょしだいまえ）
Sanyo Shioya Station	山陽塩屋駅（さんようしおや）
Sanyo Sone Station	山陽曽根駅（さんようそね）
Sanyo Suma Station	山陽須磨駅（さんようすま）
Sanyo Tarumi Station	山陽垂水駅（さんようたるみ）
Sanyo Temma Station	山陽天満駅（さんようてんま）
Sanyo Uozumi Station	山陽魚住駅（さんよううおずみ）
Sanze Station	三瀬駅（さんぜ）
Sappinai Station	札比内駅（さっぴない）
Sapporo Station	札幌駅（さっぽろ）
Sapporo Station (Sapporo Municipal Subway)	さっぽろ駅
Sapporo Beer Teien Station	サッポロビール庭園駅（サッポロビールていえん）
Sapporo Kamotsu Terminal Station	札幌貨物ターミナル駅（さっぽろかもつたーみなる）
Sarayama Station	佐良山駅（さらやま）
Sari Station	佐里駅（さり）
Saruda Station	猿田駅（さるだ）
Saruhashi Station	猿橋駅（さるはし）
Saruiwa Station	猿岩駅（さるいわ）
Saruwada Station	猿和田駅（さるわだ）
Sasabara Station	篠原駅 (愛知県)（ささばら）
Sasabaru Station	笹原駅（ささばる）
Sasabe Station	笹部駅（ささべ）
Sasagawa Station	笹川駅（ささがわ）
Sasago Station	笹子駅（ささご）
Sasaguri Station	篠栗駅（ささぐり）
Sasaharada Station	笹原田駅（ささはらだ）
Sasaki Station	佐々木駅（ささき）
Sasakino Station	笹木野駅（ささきの）
Sasashima-raibu Station	ささしまライブ駅（ささしまらいぶ）
Sasaya Station	笹谷駅（ささや）
Sasayamaguchi Station	篠山口駅（ささやまぐち）
Sasazu Station	笹津駅（ささづ）
Sasazuka Station	笹塚駅（ささづか）
Sasebo Station	佐世保駅（させぼ）
Sasebo-Chūō Station	佐世保中央駅（させぼちゅうおう）
Sashiki Station	佐敷駅（さしき）
Sashimaki Station	刺巻駅（さしまき）
Sashiōgi Station	指扇駅（さしおうぎ）
Sashiu Station	佐志生駅（さしう）
Sato Station	里駅（さと）
Satomi Station	里見駅（さとみ）
Satoshiraishi Station	里白石駅（さとしらいし）
Satoshō Station	里庄駅（さとしょう）
Satsu Station	佐津駅（さつ）
Satsueisho-mae Station	撮影所前駅（さつえいしょまえ）
Satsu Station	佐津駅（さつ）
Satsukari Station	札苅駅（さつかり）
Satsukidai Station	五月台駅（さつきだい）
Satsukino Station	さつき野駅（さつきの）
Satsuma-Imaizumi Station	薩摩今和泉駅（さつまいまいずみ）
Satsuma-Itashiki Station	薩摩板敷駅（さつまいたしき）
Satsuma-Kawashiri Station	薩摩川尻駅（さつまかわしり）
Satsuma-Matsumoto Station	薩摩松元駅（さつままつもと）
Satsuma-Ōkawa Station	薩摩大川駅（さつまおおかわ）
Satsuma-Shioya Station	薩摩塩屋駅（さつましおや）
Satsuma-Taki Station	薩摩高城駅（さつまたき）
Satsunai Station	札内駅（さつない）
Satte Station	幸手駅（さって）
Satteki Station	札的駅（さってき）
Sattsuru Station	札弦駅（さっつる）
Sawa Station (Ibaraki)	佐和駅（さわ）
Sawa Station (Nagano)	沢駅（さわ）
