Tabaruzaka Station	田原坂駅（たばるざか）
Tabata Station (Nagano)	田畑駅（たばた）
Tabata Station (Tokyo)	田端駅（たばた）
Tabira-Hiradoguchi Station	たびら平戸口駅（たびらひらどぐち）
Tabuse Station	田布施駅（たぶせ）
Tabushi Station	旅伏駅（たぶし）
Tachiaigawa Station	立会川駅（たちあいがわ）
Tachiarai Station	太刀洗駅（たちあらい）
Tachibana Station	立花駅（たちばな）
Tachihi Station	立飛駅（たちひ）
Tachikawa Station	立川駅（たちかわ）
Tachikawa-Kita Station	立川北駅（たちかわきた）
Tachikawa-Minami Station	立川南駅（たちかわみなみ）
Tachiki Station	立木駅（たちき）
Tachikōji Station	立小路駅（たちこうじ）
Tachima Station	立間駅（たちま）
Tachita Station	館田駅（たちた）
Tada Station (Hyogo)	多田駅 (兵庫県)（ただ）
Tada Station (Tochigi)	多田駅 (栃木県)（ただ）
Tadachi Station	田立駅（ただち）
Tadami Station	只見駅（ただみ）
Tadanoumi Station	忠海駅（ただのうみ）
Tadaoka Station	忠岡駅（ただおか）
Tado Station	多度駅（たど）
Tadotsu Station	多度津駅（たどつ）
Tagajō Station	多賀城駅（たがじょう）
Tagami Station (Gifu)	田神駅（たがみ）
Tagami Station (Niigata)	田上駅（たがみ）
Tagataishamae Station	多賀大社前駅（たがたいしゃまえ）
Tagatajinjamae Station	田県神社前駅（たがたじんじゃまえ）
Tagawa-Gotōji Station	田川後藤寺駅（たがわごとうじ）
Tagawa-Ita Station	田川伊田駅（たがわいた）
Tagawa-Shiritsubyōin Station	田川市立病院駅（たがわしりつびょういん）
Tagi Station	田儀駅（たぎ）
Tagiri Station	田切駅（たぎり）
Tagokura Station	田子倉駅（たごくら）
Tahara Station	田原駅（たはら）
Tahōtō Station	多宝塔駅（たほうとう）
Taichō no Sato Station	泰澄の里駅（たいちょうのさと）
Taihei Station	太平駅（たいへい）
Taiji Station	太地駅（たいじ）
Taikenkōdō Station	体験坑道駅（たいけんこうどう）
Taimadera Station	当麻寺駅（たいまでら）
Tainohama Station	田井ノ浜駅（たいのはま）
Tainose Station	田井ノ瀬駅（たいのせ）
Tairadate Station	平館駅（たいらだて）
Tairamachi Station	多比良町駅（たいらまち）
Taisanji Station	大山寺駅（たいさんじ）
Taisei Station	大成駅（たいせい）
Taishibashi-Imaichi Station	太子橋今市駅（たいしばしいまいち）
Taishidō Station	太子堂駅（たいしどう）
Taishō Station (Nagasaki)	大正駅 (長崎県)（たいしょう）
Taishō Station (Osaka)	大正駅 (大阪府)（たいしょう）
Taitō Station	太東駅（たいとう）
Taiyō Station	大洋駅（たいよう）
Tajibe Station	丹治部駅（たじべ）
Tajima Station (Nara)	但馬駅（たじま）
Tajima Station (Tochigi)	田島駅（たじま）
Tajimakōkōmae Station	田島高校前駅（たじまこうこうまえ）
Tajimi Station	多治見駅（たじみ）
Tajiri Station	田尻駅（たじり）
Taka Station	高駅（たか）
Takabata Station	高畑駅（たかばた）
Takachaya Station	高茶屋駅（たかちゃや）
Takada Station (Nara)	高田駅 (奈良県)（たかだ）
Takada Station (Niigata)	高田駅 (新潟県)（たかだ）
Takadabashi Station	高田橋駅（たかだばし）
Takadahonzan Station	高田本山駅（たかだほんざん）
Takadanobaba Station	高田馬場駅（たかだのばば）
Takadano-tekkyō Station	高田の鉄橋駅（たかだのてっきょう）
Takadashi Station	高田市駅（たかだし）
Takagari Station	鷹狩駅（たかがり）
Takagi Station (Hiroshima)	高木駅 (広島県)（たかぎ）
Takagi Station (Toyama)	高儀駅（たかぎ）
Takagimachi Station	高城町駅（たかぎまち）
Takahagi Station	高萩駅（たかはぎ）
Takahama Station (Ehime)	高浜駅 (愛媛県)（たかはま）
Takahama Station (Ibaraki)	高浜駅 (茨城県)（たかはま）
Takahama Station (Shimane)	高浜駅 (島根県)（たかはま）
Takahamaminato Station	高浜港駅（たかはまみなと）
Takaharu Station	高原駅（たかはる）
Takahashi Station	高橋駅（たかはし）
Takahata Station	高畠駅（たかはた）
Takahata-Fudō Station	高幡不動駅（たかはたふどう）
Takaida Station (Higashiosaka, Osaka)	高井田駅 (大阪府東大阪市)（たかいだ）
Takaida Station (Kashiwara, Osaka)	高井田駅 (大阪府柏原市)（たかいだ）
Takaida-Chūō Station	高井田中央駅（たかいだちゅうおう）
Takaido Station	高井戸駅（たかいど）
Takaishi Station	高石駅（たかいし）
Takaiwa Station (Nagano)	高岩駅 (長野県)（たかいわ）
Takaiwa Station (Nagasaki)	高岩駅 (長崎県)（たかいわ）
Takajō Station	高城駅（たかじょう）
Takako Station	高子駅（たかこ）
Takaku Station	高久駅（たかく）
Takamatsu Station (Ishikawa)	高松駅 (石川県)（たかまつ）
Takamatsu Station (Kagawa)	高松駅 (香川県)（たかまつ）
Takamatsu Station (Tokyo)	高松駅 (東京都)（たかまつ）
Takamatsu-Chikkō Station	高松築港駅（たかまつちっこう）
Takamatsuchō Station	高松町駅（たかまつちょう）
Takamatsu Freight Terminal Station	高松貨物ターミナル駅（たかまつかもつたーみなる）
Takaminosato Station	高見ノ里駅（たかみのさと）
Takamitsu Station	高光駅（たかみつ）
