Ubadō Station	姥堂駅（うばどう）
Ubara Station	鵜原駅（うばら）
Ubashima Station	祖母島駅（うばしま）
Ube Station	宇部駅（うべ）
Ubemisaki Station	宇部岬駅（うべみさき）
Ube-Shinkawa Station	宇部新川駅（うべしんかわ）
Uchida Station	内田駅（うちだ）
Uchide Station	打出駅（うちで）
Uchigamaki Station	内ヶ巻駅（うちがまき）
Uchigō Station	内郷駅（うちごう）
Uchigoshi Station	打越駅（うちごし）
Uchihara Station	内原駅（うちはら）
Uchijuku Station	内宿駅（うちじゅく）
Uchiko Station	内子駅（うちこ）
Uchina Station	内名駅（うちな）
Uchinada Station	内灘駅（うちなだ）
Uchino Station	内野駅（うちの）
Uchinoda Station	内之田駅（うちのだ）
Uchinomaki Station	内牧駅（うちのまき）
Uchino-Nishigaoka Station	内野西が丘駅（うちのにしがおか）
Uchisaiwaichō Station	内幸町駅（うちさいわいちょう）
Uchita Station	打田駅（うちた）
Uchiumi Station	内海駅 (宮崎県)（うちうみ）
Uchiyama Station	内山駅（うちやま）
Udono Station	鵜殿駅（うどの）
Uebayashi Station	上林駅（うえばやし）
Ueda Station (Aichi)	植田駅 (名古屋市)（うえだ）
Ueda Station (Fukushima)	植田駅 (福島県)（うえだ）
Ueda Station (Nagano)	上田駅（うえだ）
Uedahara Station	上田原駅（うえだはら）
Uedai Station	植大駅（うえだい）
Ueki Station	植木駅（うえき）
Uematsu Station	植松駅（うえまつ）
Uemura Station	植村駅（うえむら）
Uenae Station	植苗駅（うえなえ）
Ueno Station	上野駅（うえの）
Ueno Dōbutsuen Higashien Station	上野動物園東園駅（うえのどうぶつえんひがしえん）
Ueno Dōbutsuen Nishien Station	上野動物園西園駅（うえのどうぶつえんにしえん）
Uenohara Station	上野原駅（うえのはら）
Ueno-Hirokōji Station	上野広小路駅（うえのひろこうじ）
Ueno-Okachimachi Station	上野御徒町駅（うえのおかちまち）
Uenoshi Station	上野市駅（うえのし）
Uenoshiba Station	上野芝駅（うえのしば）
