Yabachō Station	矢場町駅（やばちょう）
Yabara Station	矢原駅（やばら）
Yabase Station	八橋駅（やばせ）
Yabashira Station	八柱駅（やばしら）
Yabe Station	矢部駅（やべ）
Yabitsu Station	矢美津駅（やびつ）
Yabu Station	養父駅（やぶ）
Yabuhara Station	藪原駅（やぶはら）
Yabukami Station	藪神駅（やぶかみ）
Yabuki Station	矢吹駅（やぶき）
Yabuzuka Station	藪塚駅（やぶづか）
Yachihata Station	谷地畑駅（やちはた）
Yachiho Station	八千穂駅（やちほ）
Yachimata Station	八街駅（やちまた）
Yachiyo-Chūō Station	八千代中央駅（やちよちゅうおう）
Yachiyodai Station	八千代台駅（やちよだい）
Yachiyo-Midorigaoka Station	八千代緑が丘駅（やちよみどりがおか）
Yada Station	矢田駅 (愛知県)（やだ）
Yadamae Station	矢田前駅（やだまえ）
Yaenosato Station	八戸ノ里駅（やえのさと）
Yaga Station (Kanagawa)	谷峨駅（やが）
Yaga Station (Hiroshima)	矢賀駅（やが）
Yagami Station	矢神駅（やがみ）
Yagawa Station	矢川駅（やがわ）
Yagawara Station	谷河原駅（やがわら）
Yagi Station	八木駅（やぎ）
Yagihara Station	八木原駅（やぎはら）
Yagi-nishiguchi Station	八木西口駅（やぎにしぐち）
Yagiri Station	矢切駅（やぎり）
Yagisaki Station	八木崎駅（やぎさき）
Yagisawa Station	八木沢駅（やぎさわ）
Yagisawa Miyakotandai Station	八木沢・宮古短大駅（やぎさわみやこたんだい）
Yagiyama Zoological Park Station	八木山動物公園駅（やぎやまどうぶつこうえん）
Yagoshi Station	矢越駅（やごし）
Yagoshima Station	弥五島駅（やごしま）
Yagoto Station	八事駅（やごと）
Yagotonisseki Station	八事日赤駅（やごとにっせき）
Yaguchinowatashi Station	矢口渡駅（やぐちのわたし）
Yagumadai Station	やぐま台駅（やぐまだい）
Yagura Station	矢倉駅（やぐら）
Yagyū Station	柳生駅（やぎゅう）
Yagyūbashi Station	柳生橋駅（やぎゅうばし）
Yahaba Station	矢幅駅（やはば）
Yahagi Station	矢作駅（やはぎ）
Yahagibashi Station	矢作橋駅（やはぎばし）
Yahata Station	八幡駅 (福岡県)（やはた）
Yahiko Station	弥彦駅（やひこ）
Yahiro Station	八広駅（やひろ）
Yaho Station	谷保駅（やほ）
Yairo Station	八色駅（やいろ）
Yaita Station	矢板駅（やいた）
Yaizu Station	焼津駅（やいづ）
Yaka Station	八家駅（やか）
Yakabe Station	矢加部駅（やかべ）
Yakage Station	矢掛駅（やかげ）
Yakawa Station	八川駅（やかわ）
Yakeishi Station	焼石駅（やけいし）
Yakimaki Station	八木蒔駅（やきまき）
Yakō Station	矢向駅（やこう）
Yakuendai Station	薬園台駅（やくえんだい）
Yakuin Station	薬院駅（やくいん）
Yakuin-ōdōri Station	薬院大通駅（やくいんおおどおり）
Yakujin Station	厄神駅（やくじん）
Yakumo Station	八雲駅（やくも）
Yakuri Station	八栗駅（やくり）
Yakuriguchi Station	八栗口駅（やくりぐち）
Yakurisanjō Station	八栗山上駅（やくりさんじょう）
Yakuri-shinmichi Station	八栗新道駅（やくりしんみち）
Yakuri-tozanguchi Station	八栗登山口駅（やくりとざんぐち）
